module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Lens,bmad-lens-feature-yaml,manage-feature-yaml,FY,Read/write feature.yaml files atomically,read,[subcommand] [--feature-id] [--dry-run],anytime,,,false,,feature.yaml
Lens,bmad-lens-git-state,read-git-state,GS,Read branch commit and working tree state,feature-state,[--governance-dir] [--feature-id],anytime,,,false,,git state JSON
Lens,bmad-lens-git-orchestration,orchestrate-git,GO,Execute multi-step git workflows atomically,create-feature-branches,[subcommand] [--feature-id] [--dry-run],anytime,,,false,,git operations log
Lens,bmad-lens-constitution,load-constitution,CO,Load governance rules and workflow defaults,resolve,[--governance-dir],anytime,,,false,,constitution YAML
Lens,bmad-lens-theme,apply-theme,TH,Apply visual theme to Lens output,load,[--theme] [--dry-run],anytime,,,false,,theme config
Lens,bmad-lens-init-feature,init-feature,IF,Initialize a new feature with 2-branch topology and governance entries,create,<featureId> [--domain] [--service] --track <track> [--dry-run],anytime,bmad-lens-onboard:scaffold,bmad-lens-quickplan:plan,false,,"feature.yaml, feature-index.yaml entry, git commands"
Lens,bmad-lens-init-feature,pull-context,PC,Pull cross-feature context (summaries deps constitution) for a feature,fetch-context,<featureId> [--governance-dir],anytime,bmad-lens-init-feature:create,,false,,context JSON
Lens,bmad-lens-quickplan,plan,PL,Run full planning pipeline (business→tech→sprint) with adversarial review,plan,<featureId> [--track] [--dry-run],anytime,bmad-lens-init-feature:create,bmad-lens-status:feature,false,,"business-plan.md, tech-plan.md, sprint-plan.md"
Lens,bmad-lens-quickplan,validate-plan,VP,Validate frontmatter and plan state for a feature,validate-frontmatter,<featureId> [--governance-dir],anytime,,,false,,validation JSON
Lens,bmad-lens-log-problem,log-problem,LG,Capture a problem or blocker in the feature's problem log,log,<featureId> <description> [--phase] [--category] [--dry-run],anytime,,,false,,problems.md entry
Lens,bmad-lens-status,feature-status,FS,Show current phase branch state and activity for a feature,feature,[featureId] [--governance-dir],anytime,bmad-lens-init-feature:create,,false,,status JSON
Lens,bmad-lens-status,domain-status,DM,Show all features in a domain with status from feature-index.yaml,domain,<domain> [--governance-dir],anytime,,,false,,domain summary JSON
Lens,bmad-lens-status,portfolio-status,PS,Show all active features across the portfolio from feature-index.yaml,portfolio,[--governance-dir],anytime,,,false,,portfolio summary JSON
Lens,bmad-lens-next,next-action,NA,Suggest the context-aware next action for the current feature,suggest,[featureId] [--governance-dir],anytime,,,false,,next action recommendation
Lens,bmad-lens-switch,switch-feature,FE,Switch active feature context loading paths and related deps,switch,<featureId> [--governance-dir],anytime,,,false,,context paths JSON
Lens,bmad-lens-switch,list-features,LF,List all features with status and staleness info,list,[--status] [--governance-dir],anytime,,,false,,features list JSON
Lens,bmad-lens-help,contextual-help,HE,Show phase-filtered help for the current lifecycle state,contextual,[--phase] [--track],anytime,,,false,,help table
Lens,bmad-lens-help,search-help,SH,Search help topics by keyword,search,--query <text>,anytime,,,false,,ranked help results
Lens,bmad-lens-help,all-help,AH,Show all available help topics grouped by category,all,,anytime,,,false,,full help table
Lens,bmad-lens-pause-resume,pause,PA,Pause the current feature preserving state,pause,<featureId> --reason <text> [--dry-run],anytime,,bmad-lens-pause-resume:resume,false,,feature.yaml paused state
Lens,bmad-lens-pause-resume,resume,RS,Resume a paused feature restoring context,resume,<featureId> [--dry-run],anytime,bmad-lens-pause-resume:pause,,false,,feature.yaml active state
Lens,bmad-lens-pause-resume,pause-status,PT,Check pause state and reason for a feature,status,<featureId>,anytime,,,false,,pause status JSON
Lens,bmad-lens-retrospective,analyze-problems,AP,Analyze problem log patterns and frequencies,analyze,<featureId> [--governance-dir],anytime,bmad-lens-log-problem:log,,false,,analysis JSON
Lens,bmad-lens-retrospective,generate-report,GR,Generate a narrative retrospective report,generate-report,<featureId> [--governance-dir],anytime,bmad-lens-retrospective:analyze,,false,,retrospective-report.md
Lens,bmad-lens-retrospective,update-insights,UI,Append lessons learned to the governance insights store,update-insights,<featureId> [--governance-dir] [--dry-run],anytime,bmad-lens-retrospective:generate-report,,false,,insights.md entry
